Optical efficiency,Field efficiency,DNI corrected efficiency
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6457937381214365,0.10031186172588437,10.43081362323388
0.6440932279683905,0.28153545484501796,130.11543332121212
0.6405248703082087,0.44754598675710583,293.7350789403421
0.6218028873479595,0.5189281582559082,394.1452416855218
0.597165991902834,0.5084380956110806,415.56647495672286
0.5557284299858557,0.5067813876920972,430.28986087677123
0.5393206854345165,0.47801979816655116,412.4737297973767
0.5442925089179548,0.4952019317436906,426.84018501276375
0.5539872971065631,0.5013939081677576,424.2156908480184
0.6168078175895766,0.5336392976524379,433.0802049595098
0.6364431805753035,0.5342941021013502,400.263249849432
0.6490039437759126,0.4311519448833121,274.85330708658796
0.6362817690614369,0.2527788993366995,107.52828882016604
0.7056411282256452,0.08501633127874571,4.860349464228591
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6468293658731746,0.09902537261847184,9.849454932174151
0.6458875325195117,0.28010194607137456,128.5801412218419
0.6364098393982517,0.4430554349573886,290.0742597529001
0.6162737987307344,0.5141798890643519,390.0661962619297
0.5917764041924214,0.5045037939427068,412.0631958700961
0.5500495540138751,0.5005998653139502,424.8615144288499
0.5390135898610475,0.4784766818100151,412.7639202904206
0.5397439714200655,0.49037895782756113,422.63053273888494
0.5566704352741662,0.5031823195599483,425.72689819619865
0.6128064684402713,0.5300401341364431,430.2200847739547
0.6372602739726028,0.5343114277760379,400.4271475320004
0.6505158810439005,0.4330167636941327,276.2886703807595
0.6347173586793396,0.2531395420880916,107.966585216352
0.7059823929571829,0.08575829600911612,5.001224663497423
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6518955686706012,0.09785936355530077,9.286965371547726
0.6453517462223557,0.2774451499273336,126.47369063363239
0.643980119687595,0.4466005072179998,291.65848055952404
0.6254093732354602,0.5227423160242798,396.06897941504064
0.5926421404682274,0.5062566812518123,413.1972771405399
0.5502899985853728,0.5008921561456123,424.9218001777136
0.5368646008243017,0.4766485228299252,411.07584264108044
0.5333035315154224,0.4840896377914035,417.15029600060336
0.5586284746719345,0.505935452178374,428.044549889739
0.6208691126723913,0.5382123468180439,436.9017342063851
0.6371020856201975,0.5342041382579718,400.4786520648861
0.6400040448983719,0.4274338837479347,272.94443237833764
0.6348174087043522,0.25401895365973476,108.59763561110204
0.7003501750875438,0.08562099132927359,5.08035756355131
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6542308461692339,0.09648931671203,8.713587897310815
0.6378551420568227,0.27207044556919474,123.1321924349032
0.6382719805293581,0.4404612314346595,286.9053934668042
0.6239162256502646,0.5218837346174423,394.9141775298114
0.5895930620413609,0.5043120818422281,411.3047349898977
0.551685075049561,0.5015766866080614,425.30661822073534
0.538742578779114,0.47914318310003584,413.10831298638806
0.5378188870654931,0.4877187791406642,420.20918639863703
0.5604457610382283,0.5080786572903649,429.8361390986931
0.6117846434623908,0.5296484288181087,429.9843042357286
0.6354040681693238,0.5330234804265738,399.70599423246983
0.6443612067220085,0.430271255910642,274.94983175583667
0.6384915474642393,0.2561379341263219,109.73133425060307
0.6959783913565426,0.08595942303642871,5.176363694477549
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6558311662332467,0.09473572227830716,8.117970441485692
0.6420210105052526,0.2718116914991915,122.10293166854682
0.634787018255578,0.435766743131361,283.0949616724419
0.6274024952231089,0.5244657585914871,396.34905429374584
0.5953711093375897,0.5099839482200648,415.6127753116046
0.5499223273548933,0.5006820638677066,424.3446533462889
0.5371611331099604,0.47729825235752354,411.39166843593904
0.5345677168881589,0.48422489614228115,417.12282356028476
0.5556810162314749,0.5036504995009834,426.05847153421587
0.6144609762464108,0.5319347205641347,431.86150582695984
0.6394056136488717,0.5362625642854395,402.22854205363416
0.6499848039712288,0.4343693721412015,277.7376511357988
0.6314894468340502,0.2546875205307201,109.30616186929127
0.6905452726363182,0.08582272836010947,5.232079841466538
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6623987196158848,0.09304164618040257,7.5425709337165605
0.6358543417366946,0.26725231853040843,119.13689047393865
0.6428643878689523,0.43905807937707253,284.45824671052645
0.6286834733893557,0.5261290087748267,397.0732879555828
0.5979872881355932,0.5137832411285179,418.37987301623065
0.5518555100888951,0.5021197026275356,425.35127105233886
0.5339923954372624,0.4750453739572444,409.31703908684483
0.5364941669159438,0.48517170459842535,417.8539058150826
0.5520700861947153,0.49987806414412317,422.8260057228049
0.6061715481171548,0.5239208385227413,425.36262452696724
0.6303270564915758,0.5288317168409119,396.7277851149036
0.6491637100861632,0.43375714388319425,277.48845970523456
0.6278883665099529,0.25378304654460154,109.08308907757443
0.6829731892757103,0.08513695016851046,5.2416717525730245
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6561937162297379,0.08986661995952049,6.87001348003796
0.6345807484490694,0.26451045339095486,116.98552587445218
0.6381492355978536,0.43468341090373436,280.8404491657704
0.6275407639044003,0.5253679743352773,395.95502511741256
0.591952506596306,0.5099302542781392,414.9067990338552
0.5406435224386114,0.49139720777044255,416.05311664490506
0.5318664643399089,0.47403681166991907,408.3079915375128
0.5287425149700599,0.4776664310664495,411.2985498224412
0.5454674020647716,0.4937392313994696,417.5827025990887
0.5985353733490257,0.5174923675072042,420.13723145393294
0.6313292884721456,0.5299910391436858,397.65069237801384
0.6393675248327589,0.4276892935642242,273.7204925379561
0.6219865959787937,0.2517758271955934,108.35377551832462
0.6785392696348174,0.08485638564538797,5.263392839655487
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6555311062212442,0.0873111436021004,6.2728439581633655
0.6261130565282641,0.25894556959644965,113.59483793557825
0.6301356000809553,0.4274726498926274,275.3953497978654
0.6230290917166333,0.5233191517168057,393.8573306446957
0.5887383239047493,0.5079172415868225,412.92591511341817
0.5418017763992669,0.4923337408846775,416.622915689178
0.5230233262647682,0.46661684553145094,401.77161043597465
0.5300374531835206,0.47847786894481825,411.8973168876778
0.5507000424268137,0.49849739651511177,421.5454910154762
0.5973040177987174,0.51640065132622,419.2310489423962
0.626255934636193,0.5254671059325453,394.2892546379854
0.6339584389254942,0.42452837997989656,271.7839739031505
0.623124624924985,0.2525091561597239,108.77253420715977
0.6752051230738443,0.08467870924817032,5.278873315369745
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
